arm,content_type,n,pos,question,target,target_kept,n_kept,bytes_in,bytes_out,compressed,head10_kept
off,test_names,150,75,needle,tests/unit/test_cache_layer.py::test_refresh_expired_token_075,0,14,10465,1469,1,
off,test_names,150,112,needle,tests/unit/test_session_manager.py::test_retry_on_429_112,0,14,10457,1461,1,
off,test_names,150,149,needle,tests/unit/test_billing_engine.py::test_parse_iso_timestamp_149,1,14,10469,1473,1,
off,test_names,150,-1,count,,,14,10371,1460,1,4
off,test_names,150,-1,first,,,14,10357,1446,1,4
off,test_names,150,-1,spread,,,14,10409,1413,1,4
off,test_names,400,0,needle,tests/unit/test_session_manager.py::test_refresh_expired_token_000,1,24,26879,2008,1,
off,test_names,400,3,needle,tests/unit/test_cache_layer.py::test_evict_lru_entry_003,1,24,26859,1988,1,
off,test_names,400,100,needle,tests/unit/test_session_manager.py::test_refresh_expired_token_100,0,24,26883,2012,1,
off,test_names,400,101,needle,tests/unit/test_billing_engine.py::test_reject_bad_signature_101,0,24,26879,2008,1,
off,test_names,400,200,needle,tests/unit/test_session_manager.py::test_refresh_expired_token_200,0,24,26883,2012,1,
off,test_names,400,300,needle,tests/unit/test_session_manager.py::test_refresh_expired_token_300,0,24,26883,2012,1,
off,test_names,400,399,needle,tests/unit/test_cache_layer.py::test_parse_iso_timestamp_399,1,24,26871,2000,1,
off,test_names,400,-1,count,,,24,26779,1908,1,4
off,test_names,400,-1,first,,,24,26765,1894,1,4
off,test_names,400,-1,spread,,,24,26817,1946,1,4
off,test_names,1000,0,needle,tests/unit/test_session_manager.py::test_refresh_expired_token_000,1,54,66271,3690,1,
off,test_names,1000,3,needle,tests/unit/test_cache_layer.py::test_evict_lru_entry_003,1,54,66251,3670,1,
off,test_names,1000,250,needle,tests/unit/test_auth_flow.py::test_refresh_expired_token_250,0,54,66263,3682,1,
off,test_names,1000,251,needle,tests/unit/test_cache_layer.py::test_reject_bad_signature_251,0,54,66265,3684,1,
off,test_names,1000,500,needle,tests/unit/test_session_manager.py::test_refresh_expired_token_500,0,54,66275,3694,1,
off,test_names,1000,750,needle,tests/unit/test_auth_flow.py::test_refresh_expired_token_750,0,54,66263,3682,1,
off,test_names,1000,999,needle,tests/unit/test_cache_layer.py::test_parse_iso_timestamp_999,1,54,66263,3682,1,
off,test_names,1000,-1,count,,,54,66171,3590,1,4
off,test_names,1000,-1,first,,,54,66157,3576,1,4
off,test_names,1000,-1,spread,,,54,66209,3628,1,4
off,numeric_ids,20,0,needle,8800000,1,13,781,680,1,
off,numeric_ids,20,3,needle,8800111,1,13,781,680,1,
off,numeric_ids,20,5,needle,8800185,0,13,781,680,1,
off,numeric_ids,20,6,needle,8800222,1,13,781,680,1,
off,numeric_ids,20,10,needle,8800370,1,13,783,682,1,
off,numeric_ids,20,15,needle,8800555,0,13,783,682,1,
off,numeric_ids,20,19,needle,8800703,1,13,783,682,1,
off,numeric_ids,20,-1,count,,,13,779,678,1,7
off,numeric_ids,20,-1,first,,,13,765,664,1,7
off,numeric_ids,20,-1,spread,,,13,817,716,1,7
off,numeric_ids,60,0,needle,8800000,1,14,1301,692,1,
off,numeric_ids,60,3,needle,8800111,1,14,1301,692,1,
off,numeric_ids,60,15,needle,8800555,0,14,1303,694,1,
off,numeric_ids,60,16,needle,8800592,0,14,1303,694,1,
off,numeric_ids,60,30,needle,8801110,1,14,1303,694,1,
off,numeric_ids,60,45,needle,8801665,0,14,1303,694,1,
off,numeric_ids,60,59,needle,8802183,1,14,1303,694,1,
off,numeric_ids,60,-1,count,,,14,1299,690,1,5
off,numeric_ids,60,-1,first,,,14,1285,676,1,5
off,numeric_ids,60,-1,spread,,,14,1337,728,1,5
off,numeric_ids,150,0,needle,8800000,1,14,2473,694,1,
off,numeric_ids,150,3,needle,8800111,1,14,2473,694,1,
off,numeric_ids,150,37,needle,8801369,0,14,2475,696,1,
off,numeric_ids,150,38,needle,8801406,0,14,2475,696,1,
off,numeric_ids,150,75,needle,8802775,1,14,2475,696,1,
off,numeric_ids,150,112,needle,8804144,0,14,2477,698,1,
off,numeric_ids,150,149,needle,8805513,1,14,2477,698,1,
off,numeric_ids,150,-1,count,,,14,2471,692,1,4
off,numeric_ids,150,-1,first,,,14,2457,678,1,4
off,numeric_ids,150,-1,spread,,,14,2509,730,1,4
off,numeric_ids,400,0,needle,8800000,1,14,5723,694,1,
off,numeric_ids,400,3,needle,8800111,1,14,5723,694,1,
off,numeric_ids,400,100,needle,8803700,0,14,5727,698,1,
off,numeric_ids,400,101,needle,8803737,0,14,5727,698,1,
off,numeric_ids,400,200,needle,8807400,1,14,5727,698,1,
off,numeric_ids,400,300,needle,8811100,0,14,5727,698,1,
off,numeric_ids,400,399,needle,8814763,1,14,5727,698,1,
off,numeric_ids,400,-1,count,,,14,5721,692,1,4
off,numeric_ids,400,-1,first,,,14,5707,678,1,4
off,numeric_ids,400,-1,spread,,,14,5759,730,1,4
off,numeric_ids,1000,0,needle,8800000,1,14,13525,696,1,
off,numeric_ids,1000,3,needle,8800111,1,14,13525,696,1,
off,numeric_ids,1000,250,needle,8809250,0,14,13529,700,1,
off,numeric_ids,1000,251,needle,8809287,0,14,13529,700,1,
off,numeric_ids,1000,500,needle,8818500,1,14,13529,700,1,
off,numeric_ids,1000,750,needle,8827750,0,14,13529,700,1,
off,numeric_ids,1000,999,needle,8836963,1,14,13529,700,1,
off,numeric_ids,1000,-1,count,,,14,13523,694,1,4
off,numeric_ids,1000,-1,first,,,14,13509,680,1,4
off,numeric_ids,1000,-1,spread,,,14,13561,732,1,4
